Id;Idade;Altura;Tecnica;Passe;Chute;Forca;Velocidade;Drible;Classe
1;17;177;72;65;72;60;84;81;Atacante
2;18;188;63;65;55;70;72;60;Defensor
3;18;190;63;65;67;70;72;66;Atacante
4;19;165;65;62;71;62;70;67;Atacante
5;19;174;67;66;69;64;76;74;Atacante
6;19;184;64;68;47;73;71;63;Defensor
7;19;184;64;62;70;75;73;65;Atacante
8;19;186;68;66;52;76;72;63;Defensor
9;20;170;68;65;64;62;79;75;Atacante
10;20;175;67;66;69;62;82;74;Atacante
11;20;180;66;68;70;70;66;68;Atacante
12;20;184;73;65;79;79;77;71;Atacante
13;20;187;64;69;50;72;62;62;Defensor
14;20;188;62;64;47;70;72;64;Defensor
15;20;188;65;64;45;79;72;58;Defensor
16;20;188;72;69;45;82;74;63;Defensor
17;20;190;64;69;58;70;62;61;Defensor
18;20;191;63;63;45;74;73;60;Defensor
19;21;170;64;65;70;66;70;67;Atacante
20;21;172;67;67;66;68;72;71;Atacante
21;21;174;72;70;74;65;81;76;Atacante
22;21;175;67;68;49;70;69;65;Defensor
23;21;179;71;65;76;71;74;71;Atacante
24;21;180;65;65;46;73;76;60;Defensor
25;21;182;72;68;70;71;86;76;Atacante
26;21;183;66;64;58;75;72;62;Defensor
27;21;184;70;67;70;75;80;72;Atacante
28;21;188;67;67;51;75;66;62;Defensor
29;21;192;62;74;64;71;68;70;Defensor
30;22;166;72;70;60;61;76;81;Atacante
31;22;177;69;65;71;77;77;80;Atacante
32;22;180;64;61;68;70;79;70;Atacante
33;22;181;65;67;62;67;75;77;Defensor
34;22;181;74;68;56;80;78;62;Defensor
35;22;183;67;62;73;81;74;68;Atacante
36;22;184;71;66;46;79;74;71;Defensor
37;22;185;72;65;61;74;70;60;Defensor
38;22;187;69;69;57;80;74;58;Defensor
39;22;188;71;65;58;77;76;62;Defensor
40;22;190;73;66;58;81;75;63;Defensor
41;22;195;63;61;46;76;71;63;Defensor
42;23;170;70;66;72;62;84;82;Atacante
43;23;174;75;65;78;77;84;74;Atacante
44;23;176;78;80;72;70;74;81;Atacante
45;23;177;68;64;69;71;82;76;Atacante
46;23;186;64;63;48;78;72;62;Defensor
47;23;188;64;68;45;79;68;62;Defensor
48;24;168;73;78;65;70;74;73;Atacante
49;24;170;75;72;66;62;93;83;Atacante
50;24;175;66;60;68;66;81;71;Atacante
51;24;180;80;82;81;64;83;82;Atacante
52;24;182;74;65;77;81;82;71;Atacante
53;24;183;69;63;70;83;80;71;Atacante
54;24;183;72;66;56;80;71;61;Defensor
55;24;185;67;63;54;73;69;60;Defensor
56;24;186;71;61;77;85;70;70;Atacante
57;24;188;73;69;55;76;66;72;Defensor
58;24;190;71;64;53;80;72;61;Defensor
59;24;191;73;68;59;79;74;67;Defensor
60;25;167;80;73;73;64;87;87;Atacante
61;25;175;75;72;69;68;86;82;Atacante
62;25;177;74;68;72;67;81;74;Atacante
63;25;180;73;74;70;61;79;80;Atacante
64;25;193;69;65;45;82;69;62;Defensor
65;25;194;68;67;45;72;73;66;Defensor
66;26;177;71;67;76;72;78;72;Atacante
67;26;180;75;67;60;78;77;68;Defensor
68;26;182;72;72;69;78;94;66;Atacante
69;26;187;74;69;58;82;75;62;Defensor
70;27;170;76;70;75;60;81;79;Atacante
71;27;174;69;64;74;70;77;76;Atacante
72;27;178;70;66;73;68;79;73;Atacante
73;27;178;73;71;66;63;81;83;Atacante
74;27;181;74;62;56;84;76;65;Defensor
75;27;184;66;61;72;77;78;67;Atacante
76;27;186;67;59;47;84;68;59;Defensor
77;27;186;71;64;60;81;73;63;Defensor
78;27;190;71;66;57;83;66;63;Defensor
79;27;191;74;65;54;86;69;63;Defensor
80;28;178;75;70;72;70;82;79;Atacante
81;28;180;70;70;66;65;87;78;Atacante
82;28;188;71;61;59;85;68;62;Defensor
83;28;192;72;65;58;85;70;64;Defensor
84;29;167;70;67;65;60;85;76;Atacante
85;29;174;74;73;67;68;82;80;Atacante
86;29;184;69;65;52;81;73;64;Defensor
87;29;184;69;67;72;72;77;70;Atacante
88;29;184;72;62;54;83;65;61;Defensor
89;29;187;71;64;50;85;74;61;Defensor
90;29;188;70;67;61;83;71;66;Defensor
91;29;190;75;68;59;83;76;68;Defensor
92;29;192;74;65;54;88;76;63;Defensor
93;30;171;68;66;71;60;82;83;Atacante
94;30;176;75;69;73;67;80;75;Atacante
95;30;189;76;70;80;83;77;72;Atacante
96;31;171;74;70;78;70;80;76;Atacante
97;31;185;71;64;73;84;75;72;Atacante
98;31;190;74;73;56;79;73;69;Defensor
99;31;193;73;66;51;91;65;61;Defensor
100;31;193;74;64;57;88;68;67;Defensor
101;31;194;71;63;48;88;78;53;Defensor
102;32;190;80;76;60;79;73;70;Defensor
103;32;191;69;64;56;82;66;60;Defensor
104;32;192;78;71;57;81;70;66;Defensor
105;32;193;71;66;77;88;65;68;Atacante
106;32;171;74;68;67;65;82;80;Atacante
107;32;175;75;75;78;72;72;77;Atacante
108;32;184;70;63;55;84;60;58;Defensor
109;32;187;73;61;77;84;71;73;Atacante
110;33;172;81;80;76;60;77;90;Atacante
111;33;185;79;73;79;85;75;78;Atacante
112;34;173;72;68;78;81;70;74;Atacante
113;34;185;79;70;87;84;68;70;Atacante
114;34;186;73;66;50;83;68;60;Defensor
115;34;188;74;70;76;85;68;69;Atacante
116;34;190;73;71;75;78;78;74;Atacante
117;36;183;73;72;80;80;62;70;Atacante
118;36;187;75;67;58;84;66;62;Defensor
119;38;180;73;71;58;79;65;64;Defensor
120;38;192;75;68;60;84;70;65;Defensor
